"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"BE",2014,"New Flemish Alliance (N-VA)",1366397,20.3,33,"No",0.22
"BE",2014,"Socialist Party (PS)",787058,11.7,23,"No",0.153333333333333
"BE",2014,"Reform Movement (MR)",650260,9.6,20,"No",0.133333333333333
"BE",2014,"Christian Democratic & Flemish (CD&V)",783040,11.6,18,"No",0.12
"BE",2014,"Open VLD (Flemish Liberals and Democrats)",659571,9.8,14,"No",0.0933333333333333
"BE",2014,"Socialist Party. Different (sp.a)",595466,8.8,13,"No",0.0866666666666667
"BE",2014,"Humanist Democratic Center (CDH)",336184,5,9,"No",0.06
"BE",2014,"Green",358947,5.3,6,"No",0.04
"BE",2014,"Ecolo",222524,3.3,6,"No",0.04
"BE",2014,"Flemish Interest (VB)",247738,3.7,3,"No",0.02
"BE",2014,"Workers' Party of Belgium (PVDA/PTB)",251276,3.7,2,"No",0.0133333333333333
"BE",2014,"Francophone Democratic Federalists (FDF)",121384,1.8,2,"No",0.0133333333333333
"BE",2014,"Popular Party (PP)",102581,1.5,1,"No",0.00666666666666667
"BE",2014,"List Dedecker",28414,0.4,0,"No",0
"BE",2014,"Others",233707,3.5,0,"No",0
