"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"GK",2015,"Coalition of the Radical Left (SYRIZA)",2245978,36.3,149,"No",0.248333333333333
"GK",2015,"New Democracy (ND)",1718694,27.8,76,"No",0.126666666666667
"GK",2015,"Golden Dawn (XA)",388387,6.3,17,"No",0.0283333333333333
"GK",2015,"The River (To Potami)",373924,6,17,"No",0.0283333333333333
"GK",2015,"Communist Party of Greece (KKE)",338188,5.5,15,"No",0.025
"GK",2015,"Independent Greeks (ANEL)",293683,4.8,13,"No",0.0216666666666667
"GK",2015,"Pan Hellenic Socialist Movement (PASOK)",289469,4.7,13,"No",0.0216666666666667
"GK",2015,"Movement of Democratic Socialists (KIDISO)",152557,2.5,0,"No",0
"GK",2015,"Union of Centrists (EK)",110923,1.8,0,"No",0
"GK",2015,"Others",269069,4.4,0,"No",0
"GK",2015,"Coalition of the Radical Left (SYRIZA)",1925904,35.5,145,"No",0.241666666666667
"GK",2015,"New Democracy (ND)",1526205,28.1,75,"No",0.125
"GK",2015,"Golden Dawn (XA)",379581,7,18,"No",0.03
"GK",2015,"Democratic Coalition (PASOK-DIMAR)",341390,6.3,17,"No",0.0283333333333333
"GK",2015,"Communist Party of Greece (KKE)",301632,5.6,15,"No",0.025
"GK",2015,"The River (To Potami)",222166,4.1,11,"No",0.0183333333333333
"GK",2015,"Independent Greeks (ANEL)",200423,3.7,10,"No",0.0166666666666667
"GK",2015,"Union of Centrists (EK)",186457,3.4,9,"No",0.015
"GK",2015,"Popular Unity (LAE)",155242,2.9,0,"No",0
"GK",2015,"Others",192850,3.6,0,"No",0
