"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"PT",2005,"Partido Socialista (PS)",2573869,45,120,"No",0.530973451327434
"PT",2005,"Partido Social Democrata (PPD/PSD)",1639802,28.7,72,"No",0.31858407079646
"PT",2005,"CDU - Coligação Democrática Unitária (PCP-PEV)",432009,7.6,14,"No",0.0619469026548673
"PT",2005,"Partido Popular (CDS-PP)",415043,7.3,12,"No",0.0530973451327434
"PT",2005,"Bloco de Esquerda (B.E.)",364430,6.4,8,"No",0.0353982300884956
"PT",2005,"Partido Comunista dos Trabalhadores Portugueses (PCTP/MRPP)",47740,0.8,0,"No",0
"PT",2005,"Partido da Nova Democracia (PND)",40008,0.7,0,"No",0
"PT",2005,"Partido Humanista (PH)",16873,0.3,0,"No",0
"PT",2005,"Partido Nacional Renovador (PNR)",9323,0.2,0,"No",0
"PT",2005,"Partido Operário de Unidade Socialista (POUS)",5570,0.1,0,"No",0
"PT",2005,"Partido Democrático do Atlântico (PDA)",1603,0,0,"No",0
