"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"PT",2011,"Partido Social Democrata (PPD/PSD)",2146108,38.6,105,"No",0.464601769911504
"PT",2011,"Partido Socialista (PS)",1558250,28,73,"No",0.323008849557522
"PT",2011,"CDS - Partido Popular (CDS-PP)",652379,11.7,24,"No",0.106194690265487
"PT",2011,"CDU - Coligação Democrática Unitária (PCP-PEV)",440922,7.9,16,"No",0.0707964601769911
"PT",2011,"Bloco de Esquerda (B.E.)",288206,5.2,8,"No",0.0353982300884956
"PT",2011,"Partido Comunista dos Trabalhadores Portugueses (PCTP/MRPP)",62499,1.1,0,"No",0
"PT",2011,"Partido pelos Animais e pela Natureza (PAN)",57657,1,0,"No",0
"PT",2011,"Partido da Terra (MPT)",22502,0.4,0,"No",0
"PT",2011,"Movimento Esperança Portugal (MEP)",21756,0.4,0,"No",0
"PT",2011,"Partido Nacional Renovador (PNR)",17630,0.3,0,"No",0
"PT",2011,"Partido Trabalhista Português (PTP)",16728,0.3,0,"No",0
"PT",2011,"Partido Popular Monárquico (PPM)",14984,0.3,0,"No",0
"PT",2011,"Nova Democracia (PND)",11629,0.2,0,"No",0
"PT",2011,"Portugal pro Vida (PPV)",8205,0.1,0,"No",0
"PT",2011,"Partido Operário de Unidade Socialista (POUS)",4604,0.1,0,"No",0
"PT",2011,"Partido Democrático do Atlântico (PDA)",4532,0.1,0,"No",0
"PT",2011,"Partido Humanista (P.H.)",3528,0.1,0,"No",0
