"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"SK",2012,"Christian Democratic Movement (KDH)",225361,8.8,16,"No",0.106666666666667
"SK",2012,"MOST - HID",176088,6.9,13,"No",0.0866666666666667
"SK",2012,"Freedom and Solidarity (SaS)",150266,5.9,11,"No",0.0733333333333333
"SK",2012,"Hungarian Coalition Party (SMK-MKP)",109483,4.3,0,"No",0
"SK",2012,"Others",227059,8.9,0,"No",0
"SK",2012,"Direction - Social Democracy (SMER-SD)",1134280,44.4,83,"No",0.553333333333333
"SK",2012,"Ordinary People and Independent Personalities (OLaNO)",218537,8.6,16,"No",0.106666666666667
"SK",2012,"Slovak Democratic and Christian Union - Democratic Party (SDKU-DS)",155744,6.1,11,"No",0.0733333333333333
"SK",2012,"Slovak National Party (SNS)",116420,4.6,0,"No",0
"SK",2012,"99 Percent - Civic Voice (99%)",40488,1.6,0,"No",0
