"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"PT",2015,"Portugal à Frente (PPD/PSD.CDS-PP)",1979132,36.8,99,"No",0.438053097345133
"PT",2015,"Partido Socialista (PS)",1740300,32.4,85,"No",0.376106194690265
"PT",2015,"Bloco de Esquerda (B.E.)",549153,10.2,19,"No",0.084070796460177
"PT",2015,"CDU - Coligação Democrática Unitária (PCP-PEV)",444319,8.3,17,"No",0.0752212389380531
"PT",2015,"Partido Social Democrata (PPD/PSD)",81054,1.5,5,"No",0.0221238938053097
"PT",2015,"Pessoas-Animais-Natureza (PAN)",74656,1.4,1,"No",0.00442477876106195
"PT",2015,"Partido Democrático Republicano (PDR)",60912,1.1,0,"No",0
"PT",2015,"Partido Comunista dos Trabalhadores Portugueses (PCTP/MRPP)",59812,1.1,0,"No",0
"PT",2015,"LIVRE/Tempo de Avançar (L/TDA)",38958,0.7,0,"No",0
"PT",2015,"Partido Nacional Renovador (PNR)",27104,0.5,0,"No",0
"PT",2015,"Partido da Terra (MPT)",22384,0.4,0,"No",0
"PT",2015,"Agir (PTP-MAS)",20690,0.4,0,"No",0
"PT",2015,"Nós, Cidadãos! (NC)",18695,0.3,0,"No",0
"PT",2015,"Partido Popular Monárquico (PPM)",14799,0.3,0,"No",0
"PT",2015,"Juntos pelo Povo (JPP)",14196,0.3,0,"No",0
"PT",2015,"Partido Unido dos Reformados e Pensionistas (PURP)",13739,0.3,0,"No",0
"PT",2015,"CDS - Partido Popular (CDS-PP)",7536,0.1,0,"No",0
"PT",2015,"Aliança Açores (CDS-PP.PPM)",3654,0.1,0,"No",0
"PT",2015,"Partido Cidadania e Democracia Cristã (PPV/CDC)",2658,0,0,"No",0
"PT",2015,"Partido Trabalhista Português (PTP)",1748,0,0,"No",0
