"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"UA",2019,"Opposition Platform - For Life",1908111,13.1,37,"No",0.164444444444444
"UA",2019,"European Solidarity",1184620,8.1,23,"No",0.102222222222222
"UA",2019,"Radical Party of Oleh Lyashko",586384,4,0,"No",0
"UA",2019,"Opposition Bloc",443195,3,0,"No",0
"UA",2019,"Party of Shariy",327152,2.2,0,"No",0
"UA",2019,"Civic Position",153225,1,0,"No",0
"UA",2019,"Self-Reliance",91596,0.6,0,"No",0
"UA",2019,"Movement of New Forces of Mikheil Saakashvili",67740,0.5,0,"No",0
"UA",2019,"Power of the Law",20340,0.1,0,"No",0
"UA",2019,"Social Justice",15967,0.1,0,"No",0
"UA",2019,"Torch",7739,0.1,0,"No",0
"UA",2019,"Servant of the People",6307793,43.2,124,"No",0.551111111111111
"UA",2019,"All-Ukrainian Union ""Fatherland""",1196303,8.2,24,"No",0.106666666666667
"UA",2019,"Voice",851722,5.8,17,"No",0.0755555555555556
"UA",2019,"Strength and Honor",558652,3.8,0,"No",0
"UA",2019,"Ukrainian Strategy of Hroysman",352934,2.4,0,"No",0
"UA",2019,"All-Ukrainian Union ""Svoboda""",315568,2.2,0,"No",0
"UA",2019,"Party of Greens of Ukraine",96659,0.7,0,"No",0
"UA",2019,"Agrarian Party of Ukraine",75509,0.5,0,"No",0
"UA",2019,"Power of the People",27984,0.2,0,"No",0
"UA",2019,"Patriot",16123,0.1,0,"No",0
"UA",2019,"Independence",7970,0.1,0,"No",0
