"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"PT",2019,"Partido Socialista (PS)",1866511,36.6,106,"No",0.469026548672566
"PT",2019,"Partido Social Democrata (PPD/PSD)",1420644,27.9,77,"No",0.34070796460177
"PT",2019,"Bloco de Esquerda (B.E.)",492507,9.7,19,"No",0.084070796460177
"PT",2019,"CDU - Coligação Democrática Unitária (PCP-PEV)",329241,6.5,12,"No",0.0530973451327434
"PT",2019,"CDS - Partido Popular (CDS-PP)",216454,4.3,5,"No",0.0221238938053097
"PT",2019,"Pessoas-Animais-Natureza (PAN)",166858,3.3,4,"No",0.0176991150442478
"PT",2019,"CHEGA (CH)",66448,1.3,1,"No",0.00442477876106195
"PT",2019,"Iniciativa Liberal (IL)",65545,1.3,1,"No",0.00442477876106195
"PT",2019,"LIVRE (L)",55660,1.1,1,"No",0.00442477876106195
"PT",2019,"Aliança (A)",39318,0.8,0,"No",0
"PT",2019,"Reagir Incluir Reciclar (R.I.R.)",34637,0.7,0,"No",0
"PT",2019,"Partido Comunista dos Trabalhadores Portugueses (PCTP/MRPP)",34578,0.7,0,"No",0
"PT",2019,"Partido Nacional Renovador (PNR)",15270,0.3,0,"No",0
"PT",2019,"Partido da Terra (MPT)",11621,0.2,0,"No",0
"PT",2019,"Nós, Cidadãos! (NC)",11239,0.2,0,"No",0
"PT",2019,"Partido Unido dos Reformados e Pensionistas (PURP)",10423,0.2,0,"No",0
"PT",2019,"Juntos pelo Povo (JPP)",9945,0.2,0,"No",0
"PT",2019,"Partido Democrático Republicano (PDR)",9220,0.2,0,"No",0
"PT",2019,"Partido Popular Monárquico (PPM)",7875,0.2,0,"No",0
"PT",2019,"Partido Trabalhista Português (PTP)",7499,0.1,0,"No",0
"PT",2019,"Movimento Alternativa Socialista (MAS)",3158,0.1,0,"No",0
