"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"CH",2011,"Swiss People's Party (SVP/UDC)",641094,26.6,54,"No",0.27
"CH",2011,"Social Democratic Party of Switzerland (SPS/PSS)",451236,18.7,46,"No",0.23
"CH",2011,"Radical Liberal Party (FDP/PLR)",363855,15.1,30,"No",0.15
"CH",2011,"Christian Democratic People's Party (CVP/PDC)",296420,12.3,28,"No",0.14
"CH",2011,"The Greens - Green Party of Switzerland (GPS/PES)",203365,8.4,15,"No",0.075
"CH",2011,"Green Liberal Party (GLP/PVL)",130042,5.4,12,"No",0.06
"CH",2011,"Conservative Democratic Party of Switzerland (BDP/PBD)",130885,5.4,9,"No",0.045
"CH",2011,"Evangelical People's Party (EVP/PEV)",48261,2,2,"No",0.01
"CH",2011,"Ticino League (Lega)",18956,0.8,2,"No",0.01
"CH",2011,"Christian Social Party (CSP/PCS)",15023,0.6,1,"No",0.005
"CH",2011,"Federal Democratic Union (EDU/UDF)",30729,1.3,0,"No",0
"CH",2011,"Swiss Labour Party (PdA/PST)",12915,0.5,0,"No",0
"CH",2011,"Solidarities (Sol.)",8119,0.3,0,"No",0
"CH",2011,"Swiss Democrats (SD/DS)",4839,0.2,0,"No",0
"CH",2011,"Others",55740,2.3,1,"No",0.005
