"Region","District","Year","TypeOfBallot","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"IT",NA,2018,NA,"Lega",5698687,17.4,73,"No",0.152719665271967
"IT",NA,2018,NA,"Fratelli d'Italia",1429550,4.4,19,"No",0.0397489539748954
"IT",NA,2018,NA,"Movimento 5 Stelle",10732066,32.7,225,"No",0.47071129707113
"IT",NA,2018,NA,"Partito Democratico",6161896,18.8,86,"No",0.179916317991632
"IT",NA,2018,NA,"+Europa",841468,2.6,0,"No",0
"IT",NA,2018,NA,"Civica Popolare",178107,0.5,0,"No",0
"IT",NA,2018,NA,"Potere al Popolo!",372179,1.1,0,"No",0
"IT",NA,2018,NA,"Il Popolo della Famiglia",219633,0.7,0,"No",0
"IT",NA,2018,NA,"Partito Comunista",106816,0.3,0,"No",0
"IT",NA,2018,NA,"Forza Italia",4596956,14,59,"No",0.123430962343096
"IT",NA,2018,NA,"Noi con l'Italia - UDC",427152,1.3,0,"No",0
"IT",NA,2018,NA,"SVP - PATT",134651,0.4,2,"No",0.00418410041841004
"IT",NA,2018,NA,"Italia Europa Insieme",190601,0.6,0,"No",0
"IT",NA,2018,NA,"Liberi e Uguali",1114799,3.4,14,"No",0.0292887029288703
"IT",NA,2018,NA,"CasaPound Italia",312432,1,0,"No",0
"IT",NA,2018,NA,"Italia agli Italiani",126543,0.4,0,"No",0
"IT",NA,2018,NA,"Others",198169,0.6,0,"No",0
