"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"PL",2005,"Civic Platform (PO)",2849259,24.1,133,"No",0.289130434782609
"PL",2005,"Democratic Left Alliance (SLD)",1335257,11.3,55,"No",0.119565217391304
"PL",2005,"Polish Peasant Party (PSL)",821656,7,25,"No",0.0543478260869565
"PL",2005,"Social Democracy of Poland (SDPL)",459380,3.9,0,"No",0
"PL",2005,"Others",541548,4.6,0,"No",0
"PL",2005,"Law and Justice (PiS)",3185714,27,155,"No",0.33695652173913
"PL",2005,"Self-Defense (SRP)",1347355,11.4,56,"No",0.121739130434783
"PL",2005,"League of Polish Families (LPR)",940762,8,34,"No",0.0739130434782609
"PL",2005,"German Minority",34469,0.3,2,"No",0.00434782608695652
"PL",2005,"Democratic Party (PD)",289276,2.5,0,"No",0
