"Region","Region2","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"ES",NA,2019,"Partido Socialista Obrero Español (PSOE)",7513142,28.7,123,"No",0.175714285714286
"ES",NA,2019,"Partido Popular (PP)",4373653,16.7,66,"No",0.0942857142857143
"ES",NA,2019,"Ciudadanos-Partido de la Ciudadanía (C's)",4155665,15.9,57,"No",0.0814285714285714
"ES",NA,2019,"Unidas Podemos (PODEMOS-IU-EQUO)",3751145,14.3,42,"No",0.06
"ES",NA,2019,"Vox (VOX)",2688092,10.3,24,"No",0.0342857142857143
"ES",NA,2019,"Esquerra Republicana de Catalunya-Sobiranistes (ERC-SOBIRANISTES)",1024628,3.9,15,"No",0.0214285714285714
"ES",NA,2019,"Junts per Catalunya (JxCAT-JUNTS)",500787,1.9,7,"No",0.01
"ES",NA,2019,"Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco (EAJ-PNV)",395884,1.5,6,"No",0.00857142857142857
"ES",NA,2019,"Euskal Herria Bildu (EH Bildu)",259647,1,4,"No",0.00571428571428571
"ES",NA,2019,"Coalición Canaria-Partido Nacionalista Canario (CCa-PNC)",137664,0.5,2,"No",0.00285714285714286
"ES",NA,2019,"Navarra Suma (NA+)",107619,0.4,2,"No",0.00285714285714286
"ES",NA,2019,"Compromís: Bloc-Iniciativa-VerdsEquo (COMPROMÍS 2019)",173821,0.7,1,"No",0.00142857142857143
"ES",NA,2019,"Partido Regionalista de Cantabria (PRC)",52266,0.2,1,"No",0.00142857142857143
"ES",NA,2019,"Partido Animalista Contra el Maltrato Animal (PACMA)",328299,1.3,0,"No",0
"ES",NA,2019,"Poble Lliure-Som Alternativa-Pirates: Front Republicà (FRONT REPUBLICÀ)",113807,0.4,0,"No",0
"ES",NA,2019,"Bloque Nacionalista Galego (BNG)",94433,0.4,0,"No",0
"ES",NA,2019,"Recortes Cero-Grupo Verde",47363,0.2,0,"No",0
"ES",NA,2019,"Nueva Canarias (NCa)",36225,0.1,0,"No",0
"ES",NA,2019,"Otros",247395,0.9,0,"No",0
"ES",NA,2019,"Partido Socialista Obrero Español (PSOE)",6792199,28,120,"No",0.171428571428571
"ES",NA,2019,"Partido Popular (PP)",5047040,20.8,89,"No",0.127142857142857
"ES",NA,2019,"Vox (VOX)",3656979,15.1,52,"No",0.0742857142857143
"ES",NA,2019,"Unidas Podemos (PODEMOS-IU)",3119364,12.9,35,"No",0.05
"ES",NA,2019,"Esquerra Republicana de Catalunya-Sobiranistes (ERC-SOBIRANISTES)",880734,3.6,13,"No",0.0185714285714286
"ES",NA,2019,"Ciudadanos-Partido de la Ciudadanía (C's)",1650318,6.8,10,"No",0.0142857142857143
"ES",NA,2019,"Junts per Catalunya (JxCAT-JUNTS)",530225,2.2,8,"No",0.0114285714285714
"ES",NA,2019,"Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco (EAJ-PNV)",379002,1.6,6,"No",0.00857142857142857
"ES",NA,2019,"Euskal Herria Bildu (EH Bildu)",277621,1.1,5,"No",0.00714285714285714
"ES",NA,2019,"Más País-Equo (MÁS PAÍS-EQUO)",582306,2.4,3,"No",0.00428571428571429
"ES",NA,2019,"Candidatura d'Unitat Popular-Per la Ruptura (CUP-PR)",246971,1,2,"No",0.00285714285714286
"ES",NA,2019,"Coalición Canaria-Nueva Canarias (CCa-PNC-NC)",124289,0.5,2,"No",0.00285714285714286
"ES",NA,2019,"Navarra Suma (NA+)",99078,0.4,2,"No",0.00285714285714286
"ES",NA,2019,"Bloque Nacionalista Galego (BNG)",120456,0.5,1,"No",0.00142857142857143
"ES",NA,2019,"Partido Regionalista de Cantabria (PRC)",68830,0.3,1,"No",0.00142857142857143
"ES",NA,2019,"Teruel Existe (¡TERUEL EXISTE!)",19761,0.1,1,"No",0.00142857142857143
"ES",NA,2019,"Partido Animalista Contra el Maltrato Animal (PACMA)",228856,0.9,0,"No",0
"ES",NA,2019,"Recortes Cero-Grupo Verde (RECORTES CERO-GV)",35042,0.1,0,"No",0
"ES",NA,2019,"Otros",181930,0.7,0,"No",0
