"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"CZ",2017,"Action of Dissatisfied Citizens (ANO 2011)",1500113,29.6,78,"No",0.39
"CZ",2017,"Civic Democratic Party (ODS)",572948,11.3,25,"No",0.125
"CZ",2017,"Czech Pirate Party (ČPS)",546393,10.8,22,"No",0.11
"CZ",2017,"Freedom and Direct Democracy (SPD)",538574,10.6,22,"No",0.11
"CZ",2017,"Communist Party of Bohemia and Moravia (KSČM)",393100,7.8,15,"No",0.075
"CZ",2017,"Czech Social Democratic Party (ČSSD)",368347,7.3,15,"No",0.075
"CZ",2017,"Christian and Democratic Union - Czechoslovak People's Party (KDU-ČSL)",293643,5.8,10,"No",0.05
"CZ",2017,"Tradition Responsibility Prosperity 09 (TOP 09)",268811,5.3,7,"No",0.035
"CZ",2017,"Mayors and Independents (STAN)",262157,5.2,6,"No",0.03
"CZ",2017,"Free Citizens Party (SSO)",79229,1.6,0,"No",0
"CZ",2017,"Green Party (SZ)",74335,1.5,0,"No",0
"CZ",2017,"Others",163095,3.2,0,"No",0
