"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"UK",2015,"Labour",9347273,30.4,232,"No",0.356923076923077
"UK",2015,"Liberal Democrat",2415916,7.9,8,"No",0.0123076923076923
"UK",2015,"Sinn Fein",176232,0.6,4,"No",0.00615384615384615
"UK",2015,"Social Democratic and Labour Party",99809,0.3,3,"No",0.00461538461538462
"UK",2015,"United Kingdom Independence Party",3881099,12.6,1,"No",0.00153846153846154
"UK",2015,"Speaker",34617,0.1,1,"No",0.00153846153846154
"UK",2015,"Others",288449,0.9,1,"No",0.00153846153846154
"UK",2015,"Conservative",11299609,36.8,330,"No",0.507692307692308
"UK",2015,"Scottish National Party",1454436,4.7,56,"No",0.0861538461538462
"UK",2015,"Democratic Unionist Party",184260,0.6,8,"No",0.0123076923076923
"UK",2015,"Plaid Cymru (Party of Wales)",181704,0.6,3,"No",0.00461538461538462
"UK",2015,"Ulster Unionist Party",114935,0.4,2,"No",0.00307692307692308
"UK",2015,"Green",1157630,3.8,1,"No",0.00153846153846154
"UK",2015,"Alliance Party",61556,0.2,0,"No",0
