"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"UK",2017,"Labour",12877918,40,262,"No",0.403076923076923
"UK",2017,"Liberal Democrat",2371870,7.4,12,"No",0.0184615384615385
"UK",2017,"Sinn Fein",238915,0.7,7,"No",0.0107692307692308
"UK",2017,"Green",525665,1.6,1,"No",0.00153846153846154
"UK",2017,"United Kingdom Independence Party",594068,1.8,0,"No",0
"UK",2017,"Ulster Unionist Party",83280,0.3,0,"No",0
"UK",2017,"Others",247172,0.8,1,"No",0.00153846153846154
"UK",2017,"Conservative",13636684,42.3,317,"No",0.487692307692308
"UK",2017,"Scottish National Party",977568,3,35,"No",0.0538461538461538
"UK",2017,"Democratic Unionist Party",292316,0.9,10,"No",0.0153846153846154
"UK",2017,"Plaid Cymru (Party of Wales)",164466,0.5,4,"No",0.00615384615384615
"UK",2017,"Speaker",34299,0.1,1,"No",0.00153846153846154
"UK",2017,"Social Democratic and Labour Party",95419,0.3,0,"No",0
"UK",2017,"Alliance Party",64533,0.2,0,"No",0
