"Region","Year","Party","FirstRoundVotes","FirstRoundPercentage","FirstRoundSeats","SecondRoundVotes","SecondRoundPercentage","SecondRoundSeats","TotalSeats","Coalition","TotalSeatsPercentage"
"FR",2017,"The Republicans (LR)",3573427,15.8,0,4040203,22.2,112,112,"No",0.194107452339688
"FR",2017,"Socialist Party (PS)",1685677,7.4,0,1032842,5.7,30,30,"No",0.0519930675909879
"FR",2017,"La France Insoumise (FI)",2497622,11,0,883573,4.9,17,17,"No",0.0294627383015598
"FR",2017,"National Front (FN)",2990454,13.2,0,1590869,8.8,8,8,"No",0.0138648180242634
"FR",2017,"Ecologists",973527,4.3,0,23197,0.1,1,1,"No",0.00173310225303293
"FR",2017,"Other right-wing parties",625345,2.8,0,306074,1.7,6,6,"No",0.0103986135181976
"FR",2017,"Others",947892,4.2,0,257098,1.4,9,9,"No",0.0155979202772964
"FR",2017,"La Republique En Marche! (REM)",6391269,28.2,2,7826245,43.1,306,308,"No",0.533795493934142
"FR",2017,"Democratic Movement (MoDem)",932227,4.1,0,1100656,6.1,42,42,"No",0.072790294627383
"FR",2017,"Union of Democrats and Independents (UDI)",687225,3,1,551784,3,17,18,"No",0.0311958405545927
"FR",2017,"French Communist Party (PCF)",615487,2.7,0,217833,1.2,10,10,"No",0.0173310225303293
"FR",2017,"Left Radical Party (PRG)",106311,0.5,0,64860,0.4,3,3,"No",0.00519930675909879
"FR",2017,"Debout la France (DLF)",265420,1.2,0,17344,0.1,1,1,"No",0.00173310225303293
"FR",2017,"Other left-wing parties",362281,1.6,1,263488,1.4,11,12,"No",0.0207972270363951
