"Region","Region2","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"ES",NA,2000,"Partido Popular (PP)",10321178,44.5,183,"No",0.522857142857143
"ES",NA,2000,"Partido Socialista Obrero Español-progresistas (PSOE-progr.)",7918752,34.2,125,"No",0.357142857142857
"ES",NA,2000,"Convergència i Unió (CiU)",970421,4.2,15,"No",0.0428571428571429
"ES",NA,2000,"Izquierda Unida-Esquerra Unida i Alternativa (IU-EUiA)",1263043,5.4,8,"No",0.0228571428571429
"ES",NA,2000,"Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco (EAJ-PNV)",353953,1.5,7,"No",0.02
"ES",NA,2000,"Coalición Canaria (CC)",248261,1.1,4,"No",0.0114285714285714
"ES",NA,2000,"Bloque Nacionalista Galego (BNG)",306268,1.3,3,"No",0.00857142857142857
"ES",NA,2000,"Partido Andalucista (PA)",206255,0.9,1,"No",0.00285714285714286
"ES",NA,2000,"Esquerra Republicana de Catalunya (ERC)",194715,0.8,1,"No",0.00285714285714286
"ES",NA,2000,"Iniciativa per Catalunya-Verds (IC-V)",119290,0.5,1,"No",0.00285714285714286
"ES",NA,2000,"Eusko Alkartasuna (EA)",100742,0.4,1,"No",0.00285714285714286
"ES",NA,2000,"Chunta Aragonesista (ChA)",75356,0.3,1,"No",0.00285714285714286
"ES",NA,2000,"Unió Valenciana (UV)",57830,0.2,0,"No",0
"ES",NA,2000,"Partido Aragonés (PAR)",38883,0.2,0,"No",0
"ES",NA,2000,"Otros",639504,2.8,0,"No",0
