"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"NL",2012,"People's Party for Freedom and Democracy (VVD)",2504948,26.6,41,"No",0.273333333333333
"NL",2012,"Labour Party (PvdA)",2340750,24.8,38,"No",0.253333333333333
"NL",2012,"Party for Freedom (PVV)",950263,10.1,15,"No",0.1
"NL",2012,"Socialist Party (SP)",909853,9.7,15,"No",0.1
"NL",2012,"Christian Democratic Appeal (CDA)",801620,8.5,13,"No",0.0866666666666667
"NL",2012,"Democrats 66 (D66)",757091,8,12,"No",0.08
"NL",2012,"Christian Union (CU)",294586,3.1,5,"No",0.0333333333333333
"NL",2012,"Green Left (GL)",219896,2.3,4,"No",0.0266666666666667
"NL",2012,"Political Reformed Party (SGP)",196780,2.1,3,"No",0.02
"NL",2012,"Party for the Animals (PvdD)",182162,1.9,2,"No",0.0133333333333333
"NL",2012,"50Plus Party (50PLUS)",177631,1.9,2,"No",0.0133333333333333
"NL",2012,"Pirate Party of the Netherlands (PPNL)",30600,0.3,0,"No",0
"NL",2012,"Others",58055,0.6,0,"No",0
