"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"SI",2014,"Slovenian Democratic Party (SDS)",181052,20.7,21,"No",0.233333333333333
"SI",2014,"Social Democrats (SD)",52249,6,6,"No",0.0666666666666667
"SI",2014,"New Slovenia - Christian Democrats (NSi)",48846,5.6,5,"No",0.0555555555555556
"SI",2014,"Slovenian People's Party (SLS)",34548,4,0,"No",0
"SI",2014,"Slovenian National Party (SNS)",19218,2.2,0,"No",0
"SI",2014,"Civic List (DL)",5556,0.6,0,"No",0
"SI",2014,"Party of Miro Cerar (SMC)",301563,34.5,36,"No",0.4
"SI",2014,"Democratic Party of Slovenian Pensioners (DeSUS)",88968,10.2,10,"No",0.111111111111111
"SI",2014,"United Left (ZL)",52189,6,6,"No",0.0666666666666667
"SI",2014,"Alliance of Alenka Bratusek (ZaAB)",38293,4.4,4,"No",0.0444444444444444
"SI",2014,"Positive Slovenia (PS)",25975,3,0,"No",0
"SI",2014,"Slovenian Pirate Party (PSS)",11737,1.3,0,"No",0
"SI",2014,"Others",14097,1.6,2,"No",0.0222222222222222
