"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"NL",2010,"People's Party for Freedom and Democracy (VVD)",1929575,20.5,31,"No",0.206666666666667
"NL",2010,"Labour Party (PvdA)",1848805,19.6,30,"No",0.2
"NL",2010,"Party for Freedom (PVV)",1454493,15.4,24,"No",0.16
"NL",2010,"Christian Democratic Appeal (CDA)",1281886,13.6,21,"No",0.14
"NL",2010,"Socialist Party (SP)",924696,9.8,15,"No",0.1
"NL",2010,"Democrats 66 (D66)",654167,6.9,10,"No",0.0666666666666667
"NL",2010,"Green Left (GL)",628096,6.7,10,"No",0.0666666666666667
"NL",2010,"Christian Union (CU)",305094,3.2,5,"No",0.0333333333333333
"NL",2010,"Political Reformed Party (SGP)",163581,1.7,2,"No",0.0133333333333333
"NL",2010,"Party for the Animals (PvdD)",122317,1.3,2,"No",0.0133333333333333
"NL",2010,"Proud of the Netherlands (TON)",52937,0.6,0,"No",0
"NL",2010,"Others",50354,0.5,0,"No",0
