Region,Year,Party,FirstRoundVotes,FirstRoundPercentage,FirstRoundSeats,SecondRoundVotes,SecondRoundPercentage,SecondRoundSeats,TotalSeats
FR,2002,Socialist Party (PS),6142656.0,23.8,2.0,7481990.0,35.3,138.0,140.0
FR,2002,French Communist Party (PCF),1267789.0,4.9,0.0,690807.0,3.3,21.0,21.0
FR,2002,The Greens,1145781.0,4.4,0.0,677929.0,3.2,3.0,3.0
FR,2002,Liberal Democracy (DL),108824.0,0.4,2.0,0.0,0.0,0.0,2.0
FR,2002,National Front (FN),2873556.0,11.1,0.0,393205.0,1.9,0.0,0.0
FR,2002,"Hunting, Fishing, Nature and Traditions (CPNT)",422481.0,1.6,0.0,0.0,0.0,0.0,0.0
FR,2002,Workers' Struggle (LO),304080.0,1.2,0.0,0.0,0.0,0.0,0.0
FR,2002,Other right-wing parties,1002107.0,3.9,1.0,274374.0,1.3,8.0,9.0
FR,2002,Others,753594.0,2.9,0.0,41725.0,0.2,2.0,2.0
FR,2002,Union for a Presidential Majority (UMP),8620070.0,33.4,46.0,10029762.0,47.3,309.0,355.0
FR,2002,Union for French Democracy (UDF),1240103.0,4.8,6.0,832785.0,3.9,23.0,29.0
FR,2002,Left Radical Party (PRG),389780.0,1.5,0.0,455360.0,2.1,7.0,7.0
FR,2002,Rally for France (RPF),94218.0,0.4,0.0,61605.0,0.3,2.0,2.0
FR,2002,Movement for France (MPF),202849.0,0.8,1.0,0.0,0.0,0.0,1.0
FR,2002,Republican Pole,308666.0,1.2,0.0,12679.0,0.1,0.0,0.0
FR,2002,Revolutionary Communist League (LCR),320623.0,1.2,0.0,0.0,0.0,0.0,0.0
FR,2002,National Republican Movement (MNR),278291.0,1.1,0.0,0.0,0.0,0.0,0.0
FR,2002,Other left-wing parties,355363.0,1.4,0.0,268530.0,1.3,6.0,6.0
