DE,2002,Registered Electors,61432868,,,61432868,,,
DE,2002,Voters,48582761,79.1,,48582761,79.1,,
DE,2002,Blank or Invalid Ballots,741037,1.5,,586281,1.2,,
DE,2002,Valid Votes,47841724,98.5,,47996480,98.8,,
DE,2002,Social Democratic Party of Germany (SPD),20059967,41.9,171,18488668,38.5,80,251
DE,2002,Christian Democratic Union/Christian Social Union,19647690,41.1,125,18482641,38.5,123,248
DE,2002,Christian Democratic Union (CDU),15336512,32.1,82,14167561,29.5,108,190
DE,2002,Christian Social Union (CSU),4311178,9.0,43,4315080,9.0,15,58
DE,2002,Alliance 90/The Greens,2693794,5.6,1,4110355,8.6,54,55
DE,2002,Free Democratic Party (F.D.P.),2752796,5.8,0,3538815,7.4,47,47
DE,2002,Party of Democratic Socialism (PDS),2079203,4.3,2,1916702,4.0,0,2
DE,2002,Schill Party for Germany,120330,0.3,0,400476,0.8,0,0
DE,2002,The Republicans,55947,0.1,0,280671,0.6,0,0
DE,2002,Others,431997,0.9,0,778152,1.6,0,0
W1,2002,Registered Electors,47830715,,,47830715,,,
W1,2002,Voters,38588177,80.7,,38588177,80.7,,
W1,2002,Blank or Invalid Ballots,562637,1.5,,430820,1.1,,
W1,2002,Valid Votes,38025540,98.5,,38157357,98.9,,
W1,2002,Christian Democratic Union/Christian Social Union,16621269,43.7,109,15654195,41.0,100,209
W1,2002,Christian Democratic Union (CDU),12310091,32.4,66,11339115,29.7,85,151
W1,2002,Christian Social Union (CSU),4311178,11.3,43,4315080,11.3,15,58
W1,2002,Social Democratic Party of Germany (SPD),16205767,42.6,124,14631785,38.3,72,196
W1,2002,Alliance 90/The Greens,2231874,5.9,0,3503499,9.2,46,46
W1,2002,Free Democratic Party (F.D.P.),2159131,5.7,0,2892402,7.6,39,39
W1,2002,Party of Democratic Socialism (PDS),378855,1.0,0,411762,1.1,0,0
W1,2002,Schill Party for Germany,98094,0.3,0,273976,0.7,0,0
W1,2002,The Republicans,48073,0.1,0,227489,0.6,0,0
W1,2002,Others,282477,0.7,0,562249,1.5,0,0
W2,2002,Registered Electors,49278532,,,49278532,,,
W2,2002,Voters,39733112,80.6,,39733112,80.6,,
W2,2002,Blank or Invalid Ballots,581071,1.5,,445983,1.1,,
W2,2002,Valid Votes,39152041,98.5,,39287129,98.9,,
W2,2002,Christian Democratic Union/Christian Social Union,17015761,43.5,,16019893,40.8,,
W2,2002,Christian Democratic Union (CDU),12704583,32.4,,11704813,29.8,,
W2,2002,Christian Social Union (CSU),4311178,11.0,,4315080,11.0,,
W2,2002,Social Democratic Party of Germany (SPD),16664020,42.6,,15028217,38.3,,
W2,2002,Alliance 90/The Greens,2379505,6.1,,3699206,9.4,,
W2,2002,Free Democratic Party (F.D.P.),2230411,5.7,,2982514,7.6,,
W2,2002,Party of Democratic Socialism (PDS),407487,1.0,,442136,1.1,,
W2,2002,Schill Party for Germany,100089,0.3,,294287,0.7,,
W2,2002,The Republicans,51134,0.1,,235114,0.6,,
W2,2002,Others,303634,0.8,,585762,1.5,,
