DE,2009,Registered Electors,62168489,,,62168489,,,
DE,2009,Voters,44005575,70.8,,44005575,70.8,,
DE,2009,Blank or Invalid Ballots,757575,1.7,,634385,1.4,,
DE,2009,Valid Votes,43248000,98.3,,43371190,98.6,,
DE,2009,Christian Democratic Union/Christian Social Union,17047674,39.4,218,14658515,33.8,21,239
DE,2009,Christian Democratic Union (CDU),13856674,32.0,173,11828277,27.3,21,194
DE,2009,Christian Social Union (CSU),3191000,7.4,45,2830238,6.5,0,45
DE,2009,Social Democratic Party of Germany (SPD),12079758,27.9,64,9990488,23.0,82,146
DE,2009,Free Democratic Party (F.D.P.),4076496,9.4,0,6316080,14.6,93,93
DE,2009,The Left. (DIE LINKE),4791124,11.1,16,5155933,11.9,60,76
DE,2009,Alliance 90/The Greens (GR&Uuml;NE),3977125,9.2,1,4643272,10.7,67,68
DE,2009,Pirate Party of Germany (PIRATEN),46770,0.1,0,847870,2.0,0,0
DE,2009,National Democratic Party of Germany (NPD),768442,1.8,0,635525,1.5,0,0
DE,2009,The Republicans (REP),30061,0.1,0,193396,0.4,0,0
DE,2009,Others,430550,1.0,0,930111,2.1,0,0
W1,2009,Registered Electors,48707485,,,48707485,,,
W1,2009,Voters,35184820,72.2,,35184820,72.2,,
W1,2009,Blank or Invalid Ballots,583552,1.7,,478654,1.4,,
W1,2009,Valid Votes,34601268,98.3,,34706166,98.6,,
W1,2009,Christian Democratic Union/Christian Social Union,14267071,41.2,179,12103413,34.9,15,194
W1,2009,Christian Democratic Union (CDU),11076071,32.0,134,9273175,26.7,15,149
W1,2009,Christian Social Union (CSU),3191000,9.2,45,2830238,8.2,0,45
W1,2009,Social Democratic Party of Germany (SPD),10271932,29.7,57,8402387,24.2,66,123
W1,2009,Free Democratic Party (F.D.P.),3372649,9.7,0,5358702,15.4,79,79
W1,2009,Alliance 90/The Greens (GR&Uuml;NE),3300852,9.5,0,3924474,11.3,58,58
W1,2009,The Left. (DIE LINKE),2484710,7.2,0,2864378,8.3,42,42
W1,2009,Pirate Party of Germany (PIRATEN),46770,0.1,0,675102,1.9,0,0
W1,2009,National Democratic Party of Germany (NPD),492139,1.4,0,388309,1.1,0,0
W1,2009,The Republicans (REP),30061,0.1,0,171321,0.5,0,0
W1,2009,Others,335084,1.0,0,818080,2.4,0,0
W2,2009,Registered Electors,50140690,,,50140690,,,
W2,2009,Voters,36222043,72.2,,36222043,72.2,,
W2,2009,Blank or Invalid Ballots,605572,1.7,,497568,1.4,,
W2,2009,Valid Votes,35616471,98.3,,35724475,98.6,,
W2,2009,Christian Democratic Union/Christian Social Union,14594346,41.0,,12378169,34.6,,
W2,2009,Christian Democratic Union (CDU),11403346,32.0,,9547931,26.7,,
W2,2009,Christian Social Union (CSU),3191000,9.0,,2830238,7.9,,
W2,2009,Social Democratic Party of Germany (SPD),10549714,29.6,,8622612,24.1,,
W2,2009,Free Democratic Party (F.D.P.),3461551,9.7,,5502933,15.4,,
W2,2009,Alliance 90/The Greens (GR&Uuml;NE),3495117,9.8,,4123750,11.5,,
W2,2009,The Left. (DIE LINKE),2574028,7.2,,2974801,8.3,,
W2,2009,Pirate Party of Germany (PIRATEN),46770,0.1,,704303,2.0,,
W2,2009,National Democratic Party of Germany (NPD),507774,1.4,,400531,1.1,,
W2,2009,The Republicans (REP),30061,0.1,,175125,0.5,,
W2,2009,Others,357110,1.0,,842251,2.4,,
O1,2009,Registered Electors,10989339,,,10989339,,,
O1,2009,Voters,7067916,64.3,,7067916,64.3,,
O1,2009,Blank or Invalid Ballots,139943,2.0,,126297,1.8,,
O1,2009,Valid Votes,6927973,98.0,,6941619,98.2,,
O1,2009,Christian Democratic Union (CDU),2328061,33.6,34,2161922,31.1,5,39
O1,2009,The Left. (DIE LINKE),1950774,28.2,12,1942894,28.0,17,29
O1,2009,Social Democratic Party of Germany (SPD),1389781,20.1,5,1240019,17.9,13,18
O1,2009,Free Democratic Party (F.D.P.),580067,8.4,0,758862,10.9,11,11
O1,2009,Alliance 90/The Greens (GR&Uuml;NE),377996,5.5,0,419263,6.0,6,6
O1,2009,National Democratic Party of Germany (NPD),241815,3.5,0,219417,3.2,0,0
O1,2009,Pirate Party of Germany (PIRATEN),,,,114706,1.7,0,0
O1,2009,The Republicans (REP),,,,16154,0.2,0,0
O1,2009,Others,59479,0.9,0,68382,1.0,0,0
O2,2009,Registered Electors,12027799,,,12027799,,,
O2,2009,Voters,7783532,64.7,,7783532,64.7,,
O2,2009,Blank or Invalid Ballots,152003,2.0,,136817,1.8,,
O2,2009,Valid Votes,7631529,98.0,,7646715,98.2,,
O2,2009,Christian Democratic Union (CDU),2453328,32.1,,2280346,29.8,,
O2,2009,The Left. (DIE LINKE),2217096,29.1,,2181132,28.5,,
O2,2009,Social Democratic Party of Germany (SPD),1530044,20.0,,1367876,17.9,,
O2,2009,Free Democratic Party (F.D.P.),614945,8.1,,813147,10.6,,
