Region,Year,Party,Votes,VotesPercentage,TotalSeats
UK,2005,Conservative,8784915.0,32.4,198.0
UK,2005,Democratic Unionist Party,241856.0,0.9,9.0
UK,2005,Sinn Fein,174530.0,0.6,5.0
UK,2005,Social Democratic and Labour Party,125626.0,0.5,3.0
UK,2005,Respect,68094.0,0.3,1.0
UK,2005,Speaker,15153.0,0.1,1.0
UK,2005,Green,283414.0,1.0,0.0
UK,2005,Others,385056.0,1.4,1.0
UK,2005,Labour,9552436.0,35.2,355.0
UK,2005,Liberal Democrat,5985454.0,22.0,62.0
UK,2005,Scottish National Party,412267.0,1.5,6.0
UK,2005,Plaid Cymru (Party of Wales),174838.0,0.6,3.0
UK,2005,Ulster Unionist Party,127414.0,0.5,1.0
UK,2005,Kidderminster Hospital and Health Concern,18739.0,0.1,1.0
UK,2005,United Kingdom Independence Party,605973.0,2.2,0.0
UK,2005,British National Party,192745.0,0.7,0.0
