,,2001,M,Registered Electors,49358947,,
,,2001,M,Voters,40246874,81.5,
,,2001,M,Blank or Invalid Ballots,2947266,7.3,
,,2001,M,Valid Votes,37259705,92.6,
,,2001,M,Casa delle Libert&agrave;,16915513,45.4,282
,,2001,M,L'Ulivo,16288228,43.7,189
,,2001,M,S&uuml;dtiroler Volkspartei (SVP),173735,0.5,3
,,2001,M,Vall&eacute;e d'Aoste,25577,0.1,1
,,2001,M,Lista Di Pietro,1487287,4.0,0
,,2001,M,Democrazia Europea,1310119,3.5,0
,,2001,M,Pannella-Bonino,457117,1.2,0
,,2001,M,Fiamma Tricolore,121527,0.3,0
,,2001,M,Democratici di Sinistra (Valle d'Aosta),20452,0.1,0
,,2001,M,Forza Italia-Lega Nord (Valle d'Aosta),16049,0.1,0
,,2001,M,Alleanza Nazionale (Valle d'Aosta),4464,0.0,0
,,2001,M,Others,439637,1.1,0
,,2001,P,Registered Electors,49256295,,
,,2001,P,Voters,40085397,81.4,
,,2001,P,Blank or Invalid Ballots,2962621,7.4,
,,2001,P,Valid Votes,37122776,92.6,
,,2001,P,Forza Italia,10923431,29.4,62
,,2001,P,Democratici di Sinistra,6151154,16.6,31
,,2001,P,La Margherita,5391827,14.5,27
,,2001,P,Alleanza Nazionale,4463205,12.0,24
,,2001,P,Rifondazione Comunista,1868659,5.0,11
,,2001,P,Lega Nord,1464301,3.9,0
,,2001,P,Lista Di Pietro,1443725,3.9,0
,,2001,P,Centro Cristiano Democratico-Cristiani Democratici Uniti (CCD-CDU),1194040,3.2,0
,,2001,P,Democrazia Europea,888249,2.4,0
,,2001,P,Pannella-Bonino,832213,2.2,0
,,2001,P,Il Girasole,805340,2.2,0
,,2001,P,Comunisti Italiani,620859,1.7,0
,,2001,P,Nuovo PSI,353269,1.0,0
,,2001,P,S&uuml;dtiroler Volkspartei (SVP),200059,0.5,0
,,2001,P,Fiamma Tricolore,143963,0.4,0
,,2001,P,Others,378482,1.1,0
01,,2001,M,Registered Electors,3665959,,
01,,2001,M,Voters,3089969,84.3,
01,,2001,M,Blank or Invalid Ballots,218086,7.1,
01,,2001,M,Valid Votes,2871883,92.9,
01,,2001,M,Casa delle Libert&agrave;,1323041,46.1,20
01,,2001,M,L'Ulivo,1286214,44.8,16
01,,2001,M,Lista Di Pietro,120575,4.2,0
01,,2001,M,Democrazia Europea,57880,2.0,0
01,,2001,M,Pannella-Bonino,42693,1.5,0
01,,2001,M,Fiamma Tricolore,9214,0.3,0
01,,2001,M,Others,32266,1.1,0
01,,2001,P,Registered Electors,3665959,,
01,,2001,P,Voters,3087573,84.2,
01,,2001,P,Blank or Invalid Ballots,213831,6.9,
01,,2001,P,Valid Votes,2873742,93.1,
01,,2001,P,Forza Italia,918331,32.0,6
01,,2001,P,Democratici di Sinistra,456191,15.9,1
01,,2001,P,La Margherita,434918,15.1,2
01,,2001,P,Alleanza Nazionale,265045,9.2,2
01,,2001,P,Rifondazione Comunista,170479,5.9,1
01,,2001,P,Lega Nord,170113,5.9,0
01,,2001,P,Lista Di Pietro,117300,4.1,0
01,,2001,P,Pannella-Bonino,90314,3.1,0
01,,2001,P,Centro Cristiano Democratico-Cristiani Democratici Uniti (CCD-CDU),62884,2.2,0
01,,2001,P,Comunisti Italiani,52917,1.8,0
01,,2001,P,Il Girasole,44202,1.5,0
01,,2001,P,Democrazia Europea,36882,1.3,0
01,,2001,P,Nuovo PSI,22332,0.8,0
01,,2001,P,Fiamma Tricolore,11379,0.4,0
01,,2001,P,Others,20455,0.7,0
03,,2001,M,Registered Electors,7605819,,
03,,2001,M,Voters,6576061,86.5,
03,,2001,M,Blank or Invalid Ballots,415460,6.3,
03,,2001,M,Valid Votes,6160601,93.7,
03,,2001,M,Casa delle Libert&agrave;,3242623,52.6,70
03,,2001,M,L'Ulivo,2408078,39.1,4
03,,2001,M,Lista Di Pietro,328304,5.3,0
03,,2001,M,Democrazia Europea,112467,1.8,0
03,,2001,M,Pannella-Bonino,55238,0.9,0
03,,2001,M,Fiamma Tricolore,4225,0.1,0
03,,2001,M,Others,9666,0.2,0
03,,2001,P,Registered Electors,7605819,,
03,,2001,P,Voters,6577149,86.5,
03,,2001,P,Blank or Invalid Ballots,352530,5.4,
03,,2001,P,Valid Votes,6224619,94.6,
03,,2001,P,Forza Italia,2011597,32.3,10
03,,2001,P,La Margherita,937488,15.1,5
03,,2001,P,Lega Nord,754136,12.1,0
03,,2001,P,Democratici di Sinistra,726528,11.7,4
03,,2001,P,Alleanza Nazionale,538256,8.6,3
03,,2001,P,Rifondazione Comunista,309813,5.0,2
03,,2001,P,Lista Di Pietro,242597,3.9,0
