,2019,Registered Electors,883075,,
,2019,Voters,566670,64.2,
,2019,Valid Votes,563107,,
,2019,Estonian Reform Party,162332,28.8,34
,2019,Estonian Center Party,129823,23.1,26
,2019,Estonian Conservative People's Party,100439,17.8,19
,2019,Pro Patria,64239,11.4,12
,2019,Social Democratic Party,55214,9.8,10
,2019,Estonia 200 Party,25317,4.5,0
,2019,Estonian Greens,10232,1.8,0
,2019,Estonian Free Party,6533,1.2,0
,2019,Others,8978,1.6,0
01,2019,Registered Electors,84999,,
01,2019,Voters,56728,66.7,
01,2019,Valid Votes,56464,,
01,2019,Estonian Center Party,17064,30.2,3
01,2019,Estonian Reform Party,16345,28.9,3
01,2019,Estonian Conservative People's Party,6405,11.3,1
01,2019,Social Democratic Party,5714,10.1,1
01,2019,Pro Patria,4974,8.8,1
01,2019,Estonia 200 Party,2638,4.7,0
01,2019,Estonian Greens,1816,3.2,0
01,2019,Estonian Free Party,467,0.8,0
01,2019,Others,1041,1.8,0
02,2019,Registered Electors,110521,,
02,2019,Voters,70389,63.7,
02,2019,Valid Votes,69993,,
02,2019,Estonian Center Party,26338,37.6,5
02,2019,Estonian Reform Party,18397,26.3,3
02,2019,Estonian Conservative People's Party,7120,10.2,1
02,2019,Social Democratic Party,5894,8.4,1
02,2019,Pro Patria,5413,7.7,1
02,2019,Estonia 200 Party,3769,5.4,0
02,2019,Estonian Greens,1472,2.1,0
02,2019,Estonian Free Party,451,0.6,0
02,2019,Others,1139,1.6,0
03,2019,Registered Electors,71509,,
03,2019,Voters,50140,70.1,
03,2019,Valid Votes,49895,,
03,2019,Estonian Reform Party,16209,32.5,2
03,2019,Estonian Center Party,11961,24.0,2
03,2019,Estonian Conservative People's Party,7050,14.1,1
03,2019,Pro Patria,5090,10.2,1
03,2019,Social Democratic Party,4648,9.3,0
03,2019,Estonia 200 Party,2316,4.6,0
03,2019,Estonian Greens,1227,2.5,0
03,2019,Estonian Free Party,714,1.4,0
03,2019,Others,680,1.4,0
04,2019,Registered Electors,132853,,
04,2019,Voters,91262,68.7,
04,2019,Valid Votes,90829,,
04,2019,Estonian Reform Party,34581,38.1,5
04,2019,Estonian Conservative People's Party,16641,18.3,2
04,2019,Estonian Center Party,13753,15.1,2
04,2019,Pro Patria,10097,11.1,1
04,2019,Social Democratic Party,7634,8.4,1
04,2019,Estonia 200 Party,3670,4.0,0
04,2019,Estonian Greens,1687,1.9,0
04,2019,Estonian Free Party,1076,1.2,0
04,2019,Others,1690,1.9,0
05,2019,Registered Electors,50823,,
05,2019,Voters,32271,63.5,
05,2019,Valid Votes,32053,,
05,2019,Estonian Reform Party,9146,28.5,1
05,2019,Estonian Conservative People's Party,6889,21.5,1
05,2019,Estonian Center Party,5732,17.9,1
05,2019,Social Democratic Party,3415,10.7,0
05,2019,Pro Patria,3347,10.4,0
05,2019,Estonia 200 Party,1404,4.4,0
05,2019,Estonian Free Party,714,2.2,0
05,2019,Estonian Greens,639,2.0,0
05,2019,Others,767,2.4,0
06,2019,Registered Electors,44349,,
06,2019,Voters,27112,61.1,
06,2019,Valid Votes,26936,,
06,2019,Estonian Reform Party,6395,23.7,1
06,2019,Estonian Conservative People's Party,5769,21.4,1
06,2019,Pro Patria,5463,20.3,1
06,2019,Estonian Center Party,5372,19.9,1
06,2019,Social Democratic Party,2427,9.0,0
06,2019,Estonia 200 Party,828,3.1,0
06,2019,Estonian Greens,310,1.2,0
06,2019,Estonian Free Party,185,0.7,0
06,2019,Others,187,0.7,0
07,2019,Registered Electors,56744,,
07,2019,Voters,29007,51.1,
07,2019,Valid Votes,28613,,
07,2019,Estonian Center Party,13707,47.9,3
07,2019,Social Democratic Party,4012,14.0,1
07,2019,Estonian Reform Party,3769,13.2,1
07,2019,Estonian Conservative People's Party,2966,10.4,0
07,2019,Estonia 200 Party,1866,6.5,0
07,2019,Pro Patria,1768,6.2,0
07,2019,Estonian Greens,205,0.7,0
07,2019,Estonian Free Party,149,0.5,0
07,2019,Others,171,0.6,0
08,2019,Registered Electors,61347,,
08,2019,Voters,37698,61.5,
08,2019,Valid Votes,37430,,
08,2019,Estonian Reform Party,9776,26.1,2
08,2019,Estonian Conservative People's Party,8383,22.4,1
08,2019,Estonian Center Party,6254,16.7,1
08,2019,Pro Patria,6168,16.5,1
08,2019,Social Democratic Party,4680,12.5,1
08,2019,Estonia 200 Party,1058,2.8,0
08,2019,Estonian Greens,377,1.0,0
08,2019,Estonian Free Party,281,0.8,0
08,2019,Others,453,1.2,0
09,2019,Registered Electors,65962,,
09,2019,Voters,42198,64.0,
09,2019,Valid Votes,41850,,
09,2019,Estonian Reform Party,11399,27.2,2
09,2019,Estonian Conservative People's Party,9355,22.4,1
09,2019,Pro Patria,7306,17.5,1
09,2019,Estonian Center Party,6440,15.4,1
09,2019,Social Democratic Party,3893,9.3,0
09,2019,Estonia 200 Party,1790,4.3,0
09,2019,Estonian Greens,616,1.5,0
09,2019,Estonian Free Party,572,1.4,0
09,2019,Others,479,1.1,0
10,2019,Registered Electors,67069,,
10,2019,Voters,44976,67.1,
10,2019,Valid Votes,44763,,
10,2019,Estonian Reform Party,15429,34.5,3
10,2019,Estonian Conservative People's Party,7642,17.1,1
10,2019,Estonian Center Party,6104,13.6,1
10,2019,Pro Patria,5414,12.1,1
10,2019,Social Democratic Party,5089,11.4,1
10,2019,Estonia 200 Party,2679,6.0,0
10,2019,Estonian Greens,939,2.1,0
10,2019,Estonian Free Party,837,1.9,0
10,2019,Others,630,1.4,0
11,2019,Registered Electors,70423,,
11,2019,Voters,43467,61.7,
11,2019,Valid Votes,43091,,
11,2019,Estonian Conservative People's Party,10646,24.7,2
11,2019,Estonian Reform Party,10028,23.3,2
11,2019,Estonian Center Party,9194,21.3,1
11,2019,Social Democratic Party,5033,11.7,1
11,2019,Pro Patria,4155,9.6,1
11,2019,Estonia 200 Party,1911,4.4,0
11,2019,Estonian Free Party,606,1.4,0
11,2019,Estonian Greens,440,1.0,0
11,2019,Others,1078,2.5,0
12,2019,Registered Electors,66476,,
12,2019,Voters,41422,62.3,
12,2019,Valid Votes,41190,,
12,2019,Estonian Conservative People's Party,11573,28.1,2
12,2019,Estonian Reform Party,10858,26.4,2
12,2019,Estonian Center Party,7904,19.2,1
12,2019,Pro Patria,5044,12.2,1
12,2019,Social Democratic Party,2775,6.7,0
12,2019,Estonia 200 Party,1388,3.4,0
12,2019,Estonian Greens,504,1.2,0
12,2019,Estonian Free Party,481,1.2,0
12,2019,Others,663,1.6,0
