Region,Year,Party,FirstRoundVotes,FirstRoundVotesPercentage,SecondRoundVotes,SecondRoundVotesPercentage,SingleMemberSeats,ListVotes,ListVotesPercentage,ListSeats,NationalListSeats,TotalSeats
,2002,Registered Electors,8061101,,6018069,,,8061101,,,,
,2002,Voters,5685655,70.5,4423806,73.5,,5685655,70.5,,,
,2002,Invalid Ballots,55863,1.0,26963,0.6,,63897,1.1,,,
,2002,Valid Votes,5624595,99.0,4395458,99.4,,5616750,98.9,,,
,2002,Fidesz-MDF,2217755,39.4,2196540,50.0,95,2306763,41.1,67,26,188
,2002,Hungarian Socialist Party (MSZP),2277737,40.5,2011845,45.8,78,2361997,42.1,69,31,178
,2002,Alliance of Free Democrats (SZDSZ),380982,6.8,126966,2.9,2,313084,5.6,4,13,19
,2002,MSZP-SZDSZ joint candidates,27892,0.5,13101,0.3,1,-,-,-,-,1
,2002,Hungarian Justice and Life Party (MI&Eacute;P),257430,4.6,325,0.0,0,245326,4.4,0,0,0
,2002,Center of Solidarity for Hungary (OMC),182253,3.2,5280,0.1,0,219029,3.9,0,0,0
,2002,Workers' Party (MP),108732,1.9,-,-,0,121503,2.2,0,0,0
,2002,Independent Smallholders' Party (FKgP),67401,1.2,692,0.0,0,42338,0.8,0,0,0
,2002,MSZP-MSZDP joint candidates,41461,0.7,40709,0.9,0,-,-,-,-,0
,2002,Others,62952,1.1,-,-,0,6710,0.1,0,0,0
01,2002,Registered Electors,1424266,,934700,,,1424266,,,,
01,2002,Voters,1104142,77.5,731594,78.3,,1104142,77.5,,,
01,2002,Invalid Ballots,8765,0.8,3467,0.5,,9541,0.9,,,
01,2002,Valid Votes,1093855,99.2,727722,99.5,,1093194,99.1,,,
01,2002,Hungarian Socialist Party (MSZP),480979,44.0,351352,48.3,27,482323,44.1,13,,40
01,2002,Fidesz-MDF,346004,31.6,320644,44.1,4,345181,31.6,9,,13
01,2002,Alliance of Free Democrats (SZDSZ),117766,10.8,54148,7.4,1,104474,9.6,3,,4
01,2002,Hungarian Justice and Life Party (MI&Eacute;P),77121,7.1,325,0.0,0,76063,7.0,0,,0
01,2002,Center of Solidarity for Hungary (OMC),50674,4.6,1253,0.2,0,62563,5.7,0,,0
01,2002,Workers' Party (MP),18102,1.7,-,-,0,19636,1.8,0,,0
01,2002,Independent Smallholders' Party (FKgP),1719,0.2,-,-,0,2954,0.3,0,,0
01,2002,Others,1490,0.1,-,-,0,-,-,-,,0
02,2002,Registered Electors,324247,,230550,,,324247,,,,
02,2002,Voters,232860,71.8,171429,74.4,,232860,71.8,,,
02,2002,Invalid Ballots,2204,0.9,1057,0.6,,2450,1.1,,,
02,2002,Valid Votes,230494,99.1,170339,99.4,,230243,98.9,,,
02,2002,Hungarian Socialist Party (MSZP),105342,45.7,87912,51.6,4,107584,46.7,3,,7
02,2002,Fidesz-MDF,81447,35.3,82427,48.4,3,88856,38.6,3,,6
02,2002,Alliance of Free Democrats (SZDSZ),16297,7.1,-,-,0,11693,5.1,0,,0
02,2002,Center of Solidarity for Hungary (OMC),6921,3.0,-,-,0,7827,3.4,0,,0
02,2002,Hungarian Justice and Life Party (MI&Eacute;P),7784,3.4,-,-,0,7113,3.1,0,,0
02,2002,Workers' Party (MP),5716,2.5,-,-,0,5665,2.5,0,,0
02,2002,Independent Smallholders' Party (FKgP),2163,0.9,-,-,0,1505,0.7,0,,0
02,2002,Others,4824,2.1,-,-,0,-,-,-,,0
03,2002,Registered Electors,433352,,348140,,,433352,,,,
03,2002,Voters,281469,65.0,250785,72.0,,281469,65.0,,,
03,2002,Invalid Ballots,3171,1.1,1610,0.6,,3600,1.3,,,
03,2002,Valid Votes,278059,98.9,249102,99.4,,277625,98.7,,,
03,2002,Fidesz-MDF,125650,45.2,142806,57.3,10,138356,49.8,4,,14
03,2002,Hungarian Socialist Party (MSZP),99986,36.0,91401,36.7,0,98827,35.6,3,,3
03,2002,Alliance of Free Democrats (SZDSZ),16922,6.1,14895,6.0,0,12154,4.4,0,,0
03,2002,Hungarian Justice and Life Party (MI&Eacute;P),11604,4.2,-,-,0,10038,3.6,0,,0
03,2002,Center of Solidarity for Hungary (OMC),7344,2.6,-,-,0,8692,3.1,0,,0
03,2002,Workers' Party (MP),4334,1.6,-,-,0,5404,1.9,0,,0
03,2002,Independent Smallholders' Party (FKgP),8278,3.0,-,-,0,4154,1.5,0,,0
03,2002,Others,3941,1.4,-,-,0,-,-,-,,0
04,2002,Registered Electors,317634,,317481,,,317634,,,,
04,2002,Voters,212468,66.9,225075,70.9,,212468,66.9,,,
04,2002,Invalid Ballots,2766,1.3,1952,0.9,,3205,1.5,,,
04,2002,Valid Votes,209573,98.7,223069,99.1,,209155,98.5,,,
04,2002,Fidesz-MDF,80450,38.4,112076,50.2,4,85712,41.0,3,,7
04,2002,Hungarian Socialist Party (MSZP),83788,40.0,109595,49.1,3,88795,42.5,3,,6
04,2002,Alliance of Free Democrats (SZDSZ),13728,6.6,1398,0.6,0,9122,4.4,0,,0
04,2002,Hungarian Justice and Life Party (MI&Eacute;P),8681,4.1,-,-,0,7688,3.7,0,,0
04,2002,Workers' Party (MP),6729,3.2,-,-,0,7498,3.6,0,,0
04,2002,Center of Solidarity for Hungary (OMC),6928,3.3,-,-,0,7364,3.5,0,,0
04,2002,Independent Smallholders' Party (FKgP),4219,2.0,-,-,0,2976,1.4,0,,0
04,2002,Others,5050,2.4,-,-,0,-,-,-,,0
05,2002,Registered Electors,578896,,311586,,,578896,,,,
05,2002,Voters,393831,68.0,218003,70.0,,393831,68.0,,,
05,2002,Invalid Ballots,3817,1.0,1323,0.6,,4544,1.2,,,
05,2002,Valid Votes,389731,99.0,216627,99.4,,388984,98.8,,,
05,2002,Hungarian Socialist Party (MSZP),177935,45.7,114977,53.1,9,186183,47.9,6,,15
05,2002,Fidesz-MDF,146635,37.6,101650,46.9,4,147055,37.8,4,,8
05,2002,Center of Solidarity for Hungary (OMC),18606,4.8,-,-,0,14483,3.7,0,,0
05,2002,Hungarian Justice and Life Party (MI&Eacute;P),14567,3.7,-,-,0,14294,3.7,0,,0
05,2002,Alliance of Free Democrats (SZDSZ),15540,4.0,-,-,0,13678,3.5,0,,0
05,2002,Workers' Party (MP),10008,2.6,-,-,0,10437,2.7,0,,0
05,2002,Independent Smallholders' Party (FKgP),2572,0.7,-,-,0,1826,0.5,0,,0
05,2002,Others,3868,1.0,-,-,0,1028,0.3,0,,0
06,2002,Registered Electors,338868,,291042,,,338868,,,,
06,2002,Voters,228147,67.3,205114,70.5,,228147,67.3,,,
06,2002,Invalid Ballots,2395,1.1,1235,0.6,,2880,1.3,,,
06,2002,Valid Votes,225570,98.9,203832,99.4,,225087,98.7,,,
06,2002,Fidesz-MDF,94439,41.9,101115,49.6,5,97143,43.2,3,,8
06,2002,Hungarian Socialist Party (MSZP),91429,40.5,101175,49.6,2,91164,40.5,3,,5
