,2009,Registered Electors,227843,,
,2009,Voters,193975,85.1,
,2009,Invalid Ballots,6792,3.5,
,2009,Valid Votes,187183,96.5,
,2009,Alliance,55758,29.8,20
,2009,Independence Party,44371,23.7,16
,2009,Left-Green Movement,40581,21.7,14
,2009,Progressive Party,27699,14.8,9
,2009,Citizens' Movement,13519,7.2,4
,2009,Liberal Party,4148,2.2,0
,2009,Democracy Movement,1107,0.6,0
01,2009,Registered Electors,21293,,
01,2009,Voters,18214,85.5,
01,2009,Invalid Ballots,609,3.3,
01,2009,Valid Votes,17605,96.7,
01,2009,Left-Green Movement,4018,22.8,3
01,2009,Independence Party,4037,22.9,2
01,2009,Alliance,4001,22.7,2
01,2009,Progressive Party,3967,22.5,2
01,2009,Liberal Party,929,5.3,0
01,2009,Citizens' Movement,587,3.3,0
01,2009,Democracy Movement,66,0.4,0
02,2009,Registered Electors,28352,,
02,2009,Voters,24249,85.5,
02,2009,Invalid Ballots,881,3.6,
02,2009,Valid Votes,23368,96.4,
02,2009,Left-Green Movement,6937,29.7,3
02,2009,Alliance,5312,22.7,3
02,2009,Progressive Party,5905,25.3,2
02,2009,Independence Party,4079,17.5,2
02,2009,Citizens' Movement,690,3.0,0
02,2009,Liberal Party,384,1.6,0
02,2009,Democracy Movement,61,0.3,0
03,2009,Registered Electors,32482,,
03,2009,Voters,27831,85.7,
03,2009,Invalid Ballots,866,3.1,
03,2009,Valid Votes,26965,96.9,
03,2009,Alliance,7541,28.0,3
03,2009,Independence Party,7073,26.2,3
03,2009,Progressive Party,5390,20.0,2
03,2009,Left-Green Movement,4615,17.1,1
03,2009,Citizens' Movement,1381,5.1,1
03,2009,Liberal Party,838,3.1,0
03,2009,Democracy Movement,127,0.5,0
04,2009,Registered Electors,58202,,
04,2009,Voters,50315,86.4,
04,2009,Invalid Ballots,1612,3.2,
04,2009,Valid Votes,48703,96.8,
04,2009,Alliance,15669,32.2,4
04,2009,Independence Party,13463,27.6,4
04,2009,Left-Green Movement,8473,17.4,2
04,2009,Progressive Party,5627,11.6,1
04,2009,Citizens' Movement,4428,9.1,1
04,2009,Liberal Party,741,1.5,0
04,2009,Democracy Movement,302,0.6,0
05,2009,Registered Electors,43747,,
05,2009,Voters,36926,84.4,
05,2009,Invalid Ballots,1505,4.1,
05,2009,Valid Votes,35421,95.9,
05,2009,Alliance,11667,32.9,4
05,2009,Independence Party,8211,23.2,3
05,2009,Left-Green Movement,8106,22.9,2
05,2009,Progressive Party,3435,9.7,1
05,2009,Citizens' Movement,3076,8.7,1
05,2009,Liberal Party,700,2.0,0
05,2009,Democracy Movement,226,0.6,0
06,2009,Registered Electors,43767,,
06,2009,Voters,36440,83.3,
06,2009,Invalid Ballots,1319,3.6,
06,2009,Valid Votes,35121,96.4,
06,2009,Alliance,11568,32.9,4
06,2009,Left-Green Movement,8432,24.0,3
06,2009,Independence Party,7508,21.4,2
06,2009,Progressive Party,3375,9.6,1
06,2009,Citizens' Movement,3357,9.6,1
06,2009,Liberal Party,556,1.6,0
06,2009,Democracy Movement,325,0.9,0
