Region,Year,Party,FirstRoundVotes,FirstRoundVotesPercentage,SecondRoundVotes,SecondRoundVotesPercentage,SingleMemberSeats,ListVotes,ListVotesPercentage,ListSeats,NationalListSeats,TotalSeats
,2018,Registered Electors,7933815,,,,,8312173,,,,
,2018,Voters,5570500,70.2,,,,5796268,69.7,,,
,2018,Invalid Ballots,59880,1.1,,,,59585,1.0,,,
,2018,Valid Votes,5504530,98.9,,,,5732283,99.0,,,
,2018,Fidesz - Hungarian Civic Union-KDNP,2636201,47.9,,,91,2824551,49.3,,42,133
,2018,Movement for a Better Hungary (Jobbik),1276840,23.2,,,1,1092806,19.1,,25,26
,2018,Hungarian Socialist Party-Dialogue (MSZP-P&Aacute;RBESZ&Eacute;D),622458,11.3,,,8,682701,11.9,,12,20
,2018,Democratic Coalition (DK),348176,6.3,,,3,308161,5.4,,6,9
,2018,Politics Can Be Different (LMP),312731,5.7,,,1,404429,7.1,,7,8
,2018,Together - Party for a New Era (EGY&Uuml;TT),58591,1.1,,,1,37562,0.7,,0,1
,2018,Momentum Movement (MOMENTUM),75033,1.4,,,0,175229,3.1,,0,0
,2018,Hungarian Two-tailed Dog Party (MKKP),39763,0.7,,,0,99414,1.7,,0,0
,2018,Others,134737,2.4,,,1,107430,1.9,,1,2
01,2018,Registered Electors,1323969,,,,,1323949,,,,
01,2018,Voters,998559,75.4,,,,998586,75.4,,,
01,2018,Invalid Ballots,8665,0.9,,,,7006,0.7,,,
01,2018,Valid Votes,988486,99.1,,,,990481,99.3,,,
01,2018,Hungarian Socialist Party-Dialogue (MSZP-P&Aacute;RBESZ&Eacute;D),207055,20.9,,,7,178880,18.1,,,
01,2018,Fidesz - Hungarian Civic Union-KDNP,381308,38.6,,,6,377864,38.1,,,
01,2018,Democratic Coalition (DK),147161,14.9,,,3,85724,8.7,,,
01,2018,Politics Can Be Different (LMP),68096,6.9,,,1,107349,10.8,,,
01,2018,Together - Party for a New Era (EGY&Uuml;TT),47336,4.8,,,1,16315,1.6,,,
01,2018,Movement for a Better Hungary (Jobbik),93437,9.5,,,0,128039,12.9,,,
01,2018,Momentum Movement (MOMENTUM),19091,1.9,,,0,56968,5.8,,,
01,2018,Hungarian Two-tailed Dog Party (MKKP),15078,1.5,,,0,27637,2.8,,,
01,2018,Others,9924,1.0,,,0,11705,1.2,,,
02,2018,Registered Electors,308225,,,,,308222,,,,
02,2018,Voters,210095,68.2,,,,210099,68.2,,,
