Region,District,Year,TypeOfBallot,Party,Votes,VotesPercentage,TotalSeats
IT,,2018,,"Lega",5698687.0,17.4,73.0
IT,,2018,,"Fratelli d'Italia",1429550.0,4.4,19.0  	
IT,,2018,,"Movimento 5 Stelle",10732066.0,32.7,225.0
IT,,2018,,"Partito Democratico",6161896.0,18.8,86.0  	
IT,,2018,,"+Europa",841468.0,2.6,0.0  	
IT,,2018,,"Civica Popolare",178107.0,0.5,0.0
IT,,2018,,"Potere al Popolo!",372179.0,1.1,0.0 
IT,,2018,,"Il Popolo della Famiglia",219633.0,0.7,0.0
IT,,2018,,"Partito Comunista",106816.0,0.3,0.0
IT,,2018,,"Forza Italia, Lega, Fratelli d'Italia, UDC",12152345.0,37.0,262.0
IT,,2018,,"Forza Italia",4596956.0,14.0,59.0
IT,,2018,,"Noi con l'Italia - UDC",427152.0,1.3,0.0  	
IT,,2018,,"PD, +Europa, SVP-PATT, Civica Popolare, Italia Europa Insieme",7506723.0,22.9,116.0
IT,,2018,,"SVP - PATT",134651.0,0.4,2.0
IT,,2018,,"Italia Europa Insieme",190601.0,0.6,0.0
IT,,2018,,"Liberi e Uguali",1114799.0,3.4,14.0
IT,,2018,,"CasaPound Italia",312432.0,1.0,0.0
IT,,2018,,"Italia agli Italiani",126543.0,0.4,0.0
IT,,2018,,"Others",198169.0,0.6,0.0
